,0,1,2,3,4,5
3968,1641496500,3438.53,3449.22,3446.06,3444.29,168.27016872
3969,1641495600,3444.18,3460.65,3455.0,3448.06,116.49208915
3970,1641494700,3436.3,3459.67,3436.67,3456.68,363.87728134
3971,1641493800,3417.17,3436.83,3424.27,3436.83,59.50729677
3972,1641492900,3417.63,3434.0,3429.89,3424.54,41.96268232
3973,1641492000,3420.96,3437.89,3421.9,3431.01,176.61451162
3974,1641491100,3420.76,3434.45,3433.16,3422.74,153.27170543
3975,1641490200,3416.73,3433.42,3422.0,3433.16,153.00564999
3976,1641489300,3395.94,3421.73,3397.93,3421.07,60.44580563
3977,1641488400,3398.85,3417.33,3399.75,3400.83,62.64326184
3978,1641487500,3388.2,3402.09,3392.31,3400.83,54.57621561
3979,1641486600,3382.25,3397.75,3395.71,3393.93,110.8955565
3980,1641485700,3394.03,3418.88,3407.7,3394.03,97.28181646
3981,1641484800,3385.96,3408.33,3397.44,3405.37,42.46405008
3982,1641483900,3387.41,3404.5,3389.38,3396.45,101.50902239
3983,1641483000,3379.99,3398.24,3379.99,3388.78,159.60936596
3984,1641482100,3363.7,3382.95,3363.97,3379.72,80.42231627
3985,1641481200,3358.29,3399.63,3393.12,3363.24,81.60516345
3986,1641480300,3392.21,3415.94,3413.76,3393.1,129.51762069
3987,1641479400,3389.76,3424.37,3392.0,3415.21,115.69828422
3988,1641478500,3383.77,3400.0,3394.67,3391.79,51.09659811
3989,1641477600,3391.97,3408.78,3404.0,3395.61,63.52009628
3990,1641476700,3378.3,3408.63,3380.73,3405.29,96.34293593
3991,1641475800,3369.08,3382.04,3378.17,3382.04,40.95084226
3992,1641474900,3370.44,3386.23,3381.57,3379.6,40.95855859
3993,1641474000,3364.66,3390.97,3364.66,3381.57,236.72196536
3994,1641473100,3340.64,3360.87,3340.64,3360.87,71.01448944
3995,1641472200,3316.41,3339.87,3322.11,3332.25,61.66586465
3996,1641471300,3318.01,3346.26,3335.04,3318.01,72.44428262
3997,1641470400,3334.42,3355.81,3355.03,3334.42,58.08592405
3998,1641469500,3336.3,3353.16,3336.3,3347.4,73.39126854
3999,1641468600,3331.9,3355.54,3350.85,3331.9,74.17687789
4000,1641467700,3350.44,3366.24,3359.49,3351.27,89.00735329
4001,1641466800,3348.59,3359.44,3356.36,3359.43,67.19760744
4002,1641465900,3339.54,3364.15,3339.54,3353.28,76.50479826
4003,1641465000,3339.11,3359.27,3342.25,3340.18,83.9892762
4004,1641464100,3314.26,3344.17,3334.61,3342.2,69.55966142
4005,1641463200,3308.95,3335.85,3308.95,3325.73,178.98254073
4006,1641462300,3299.0,3351.51,3349.54,3307.33,94.70382235
4007,1641461400,3323.22,3365.88,3353.14,3349.12,150.08880813
4008,1641460500,3354.0,3398.93,3392.87,3355.0,164.91218011
4009,1641459600,3375.0,3403.44,3403.44,3392.03,130.91460832
4010,1641458700,3395.1,3410.38,3401.29,3406.45,41.97059965
4011,1641457800,3384.3,3426.29,3425.47,3392.96,112.7930511
4012,1641456900,3411.5,3447.95,3436.37,3423.84,70.49027172
4013,1641456000,3433.16,3453.74,3453.74,3436.8,34.64631465
4014,1641455100,3439.35,3455.67,3439.35,3454.16,26.55647067
4015,1641454200,3440.52,3462.19,3459.76,3440.52,32.03646866
4016,1641453300,3449.29,3461.08,3450.6,3460.97,39.88735245
4017,1641452400,3429.38,3459.19,3432.57,3451.53,66.2945909
4018,1641451500,3421.14,3439.52,3428.66,3436.36,31.48175698
4019,1641450600,3421.3,3459.98,3455.27,3427.67,69.88898929
4020,1641449700,3449.65,3466.1,3455.38,3455.09,50.6738522
4021,1641448800,3439.04,3456.72,3455.22,3454.14,44.02728144
4022,1641447900,3444.73,3465.89,3448.78,3455.22,206.63597764
4023,1641447000,3443.78,3472.51,3469.11,3446.81,100.28520889
4024,1641446100,3464.68,3489.92,3466.76,3470.3,299.89231867
4025,1641445200,3436.66,3466.65,3448.8,3464.2,33.4911797
